athlete_full_name,athlete_url,sex,height,weight,NOC,NOC_code
Dylan WALCZYK,https://olympics.com/en/athletes/dylan-walczyk,Male,,,United States,USA
Dmitriy REIKHERD,https://olympics.com/en/athletes/reikherd,,,,,
Felix ELOFSSON,https://olympics.com/en/athletes/elofsson,Male,184 cm,84 kg,Sweden,SWE
Olli PENTTALA,https://olympics.com/en/athletes/olli-penttala,Male,,,Finland,FIN
Cooper WOODS-TOPALOVIC,https://olympics.com/en/athletes/cooper-woods-topalovic,Male,,,Australia,AUS
Daichi HARA,https://olympics.com/en/athletes/daichi-hara,Male,172 cm,75 kg,Japan,JPN
Ikuma HORISHIMA,https://olympics.com/en/athletes/ikuma-horishima,,,,,
Matt GRAHAM,https://olympics.com/en/athletes/matt-graham,Male,171 cm,71 kg,Australia,AUS
James MATHESON,https://olympics.com/en/athletes/james-matheson,Male,175 cm,68 kg,Australia,AUS
Laurent DUMAIS,https://olympics.com/en/athletes/laurent-dumais,Male,,,Canada,CAN
Severi VIERELA,https://olympics.com/en/athletes/severi-vierela,,,,,
Kosuke SUGIMOTO,https://olympics.com/en/athletes/kosuke-sugimoto,Male,,,Japan,JPN
Brodie SUMMERS,https://olympics.com/en/athletes/brodie-summers,Male,183 cm,83 kg,Australia,AUS
Pavel KOLMAKOV,https://olympics.com/en/athletes/pavel-kolmakov,Male,170 cm,78 kg,Kazakhstan,KAZ
Marco TADE,https://olympics.com/en/athletes/marco-tade,Male,,,Switzerland,SUI
William FENELEY,https://olympics.com/en/athletes/william-feneley,Male,,,Great Britain,GBR
So MATSUDA,https://olympics.com/en/athletes/so-matsuda,,,,,
Mikael KINGSBURY,https://olympics.com/en/athletes/mikael-kingsbury,Male,174 cm,68 kg,Canada,CAN
Bradley WILSON,https://olympics.com/en/athletes/bradley-wilson,Male,178 cm,75 kg,United States,USA
Walter WALLBERG,https://olympics.com/en/athletes/wallberg,Male,184 cm,82 kg,Sweden,SWE
Cole MCDONALD,https://olympics.com/en/athletes/cole-mcdonald,Male,,,United States,USA
Benjamin CAVET,https://olympics.com/en/athletes/benjamin-cavet,Male,180 cm,70 kg,France,FRA
